Area|Age group|Occupied dwelling type|Value|Flags
"Total, New Zealand by regional council"|"Total people, age group"|"Total usual residents in occupied dwellings"|4208553|
"Total, New Zealand by regional council"|"Total people, age group"|"Separate house no storey information"|12852|
"Total, New Zealand by regional council"|"Total people, age group"|"Separate house with one storey"|2444031|
"Total, New Zealand by regional council"|"Total people, age group"|"Separate house with two or more storeys"|893976|
"Total, New Zealand by regional council"|"Total people, age group"|"Total usual residents in separate houses"|3350859|
"Total, New Zealand by regional council"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|4227|
"Total, New Zealand by regional council"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|277662|
"Total, New Zealand by regional council"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|211284|
"Total, New Zealand by regional council"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|43425|
"Total, New Zealand by regional council"|"Total people, age group"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|536604|
"Total, New Zealand by regional council"|"Total people, age group"|"Dwelling in a motor camp"|4059|
"Total, New Zealand by regional council"|"Total people, age group"|"Mobile dwelling not in a motor camp"|8409|
"Total, New Zealand by regional council"|"Total people, age group"|"Improvised dwelling or shelter"|4821|
"Total, New Zealand by regional council"|"Total people, age group"|"Roofless or rough sleeper"|27|
"Total, New Zealand by regional council"|"Total people, age group"|"Total usual residents in other occupied private dwellings"|17322|
"Total, New Zealand by regional council"|"Total people, age group"|"Occupied private dwelling not further defined"|222693|
"Total, New Zealand by regional council"|"Total people, age group"|"Residential care for older people"|31899|
"Total, New Zealand by regional council"|"Total people, age group"|"Public hospital"|1263|
"Total, New Zealand by regional council"|"Total people, age group"|"Private hospital"|741|
"Total, New Zealand by regional council"|"Total people, age group"|"Residential and community care facilities"|6018|
"Total, New Zealand by regional council"|"Total people, age group"|"Welfare institution"|588|
"Total, New Zealand by regional council"|"Total people, age group"|"Educational institution"|16701|
"Total, New Zealand by regional council"|"Total people, age group"|"Religious institution"|864|
"Total, New Zealand by regional council"|"Total people, age group"|"Prison or penal institution"|4257|
"Total, New Zealand by regional council"|"Total people, age group"|"Defence establishment"|1761|
"Total, New Zealand by regional council"|"Total people, age group"|"Night shelter"|81|
"Total, New Zealand by regional council"|"Total people, age group"|"Total usual residents in institutions"|64170|
"Total, New Zealand by regional council"|"Total people, age group"|"Hotel, motel, or guest accommodation"|11589|
"Total, New Zealand by regional council"|"Total people, age group"|"Boarding house"|2718|
"Total, New Zealand by regional council"|"Total people, age group"|"Moto camp/camping ground"|882|
"Total, New Zealand by regional council"|"Total people, age group"|"Work, construction, or training camp"|36|
"Total, New Zealand by regional council"|"Total people, age group"|"Youth, school, or scout/guide camp"|228|
"Total, New Zealand by regional council"|"Total people, age group"|"Communal staff quarters"|948|
"Total, New Zealand by regional council"|"Total people, age group"|"Commercial vessel"|24|
"Total, New Zealand by regional council"|"Total people, age group"|"Marae complex"|78|
"Total, New Zealand by regional council"|"Total people, age group"|"Total usual residents in other occupied non-private dwellings"|16503|
"Total, New Zealand by regional council"|"Total people, age group"|"Occupied non-private dwelling not further defined"|405|
"Northland Region"|"Total people, age group"|"Total usual residents in occupied dwellings"|149574|
"Northland Region"|"Total people, age group"|"Separate house no storey information"|510|
"Northland Region"|"Total people, age group"|"Separate house with one storey"|97734|
"Northland Region"|"Total people, age group"|"Separate house with two or more storeys"|25617|
"Northland Region"|"Total people, age group"|"Total usual residents in separate houses"|123861|
"Northland Region"|"Total people, age group"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|105|
