Row Labels|Bachelor degree and level 7 qualification|Doctorate degree|Level 1 certificate|Level 2 certificate|Level 3 certificate|Level 4 certificate|Level 5 or level 6 diploma|Masters degree|No qualification|Not elsewhere included|Overseas secondary school qualification|Post-graduate and honours degrees|Total people highest qualification|Total people stated|Grand Total
Abbey Caves|54|3|75|63|24|66|48|9|66|63|21|21|507|444|1464
Abbotsford|99|3|210|177|129|222|69|6|345|93|12|12|1374|1281|4032
Abbotts Park|888|57|204|252|348|201|333|216|231|306|282|207|3531|3222|10278
Acacia Bay|147|3|162|150|81|132|108|30|174|75|66|27|1152|1077|3384
Addington|438|24|258|249|243|213|261|75|555|489|234|90|3138|2646|8913
Adelaide|213|6|33|57|228|42|57|21|54|156|45|57|975|819|2763
Adventure|153|3|138|117|96|105|102|21|138|78|54|33|1041|960|3039
Ahaura|9|0|36|39|18|27|21|3|81|54|3|3|303|249|846
Ahipara|63|3|102|60|42|81|60|9|168|177|30|18|819|642|2274
Ahuriri|108|3|132|75|57|93|93|18|216|132|36|21|990|858|2832
Aidanfield|375|12|279|216|162|186|228|63|315|234|177|69|2313|2079|6708
Aiguilles Island|||||||||||||0||0
Akarana|609|15|318|261|453|174|267|147|849|582|636|93|4395|3816|12615
Akaroa|63|6|87|51|30|63|57|18|93|57|24|12|558|501|1620
Akaroa Harbour|75|9|87|78|42|75|90|12|102|75|27|21|684|606|1983
Akatarawa|45|6|69|48|33|39|39|9|87|45|18|12|444|402|1296
Akina|231|6|480|342|225|333|237|24|912|438|129|36|3390|2952|9735
Albany|423|18|186|204|309|162|234|87|204|288|336|87|2535|2247|7320
Albert-Eden Local Board Area|18021|1053|4707|5664|7782|3756|6555|4443|6771|7776|6582|3717|76833|69060|222720
Alexandra|261|9|600|381|219|510|375|45|1008|387|93|75|3963|3576|11502
Algies Bay|69|3|78|69|27|66|84|18|108|39|30|9|597|555|1752
Alicetown|234|12|168|162|141|147|147|48|234|129|78|63|1566|1437|4566
Allandale-Mokorua|294|12|381|288|198|345|291|48|609|327|126|72|2991|2664|8646
Allen Road|18|0|24|27|9|24|9|0|30|9|9|6|165|153|483
Allenton East|261|3|513|399|189|357|291|24|822|351|111|48|3372|3024|9765
Allenton West|117|3|258|168|99|162|153|12|396|147|66|27|1605|1458|4671
Amberley|66|3|192|141|63|126|120|9|363|144|57|18|1305|1158|3765
Ambury|345|15|285|258|231|237|255|78|456|228|126|69|2583|2355|7521
Amisfield|12|0|21|12|6|15|6|0|21|18|6|0|117|99|333
Amuri|150|0|189|165|84|111|147|3|213|126|81|15|1293|1167|3744
Anderson Park|69|3|135|99|81|108|84|12|252|177|45|12|1077|900|3054
Andersons Bay|303|54|216|237|159|204|192|84|249|114|75|93|1983|1869|5832
Aniseed Hill|66|6|69|69|36|66|72|21|57|30|18|24|534|504|1572
Aokautere|450|183|240|231|273|171|246|171|279|180|252|123|2805|2625|8229
Aongatete|234|3|330|240|135|255|276|36|441|174|120|33|2280|2106|6663
Aorangi|693|42|438|411|396|369|447|132|741|330|252|186|4434|4104|12975
Aorere|180|3|378|333|375|219|207|9|1008|789|345|21|3858|3066|10791
Aotea|87|0|303|219|123|243|114|9|678|318|66|12|2166|1851|6189
Appleby-Kew|63|3|207|117|84|126|78|9|483|273|39|12|1494|1221|4209
Arahanga|42|0|147|111|114|60|45|3|435|306|78|6|1347|1041|3735
Arahiwi|3|0|18|21|6|15|3|3|27|18|6|0|123|102|345
Arakura|81|3|243|201|138|192|90|6|534|252|66|12|1824|1572|5214
Aramoana|27|6|24|18|15|27|27|12|30|33|6|6|231|198|660
Aranui|90|0|369|243|180|183|102|6|1077|570|87|15|2925|2355|8202
Arapuni|135|3|261|192|117|198|165|18|354|144|60|21|1674|1530|4872
Arataki|375|3|540|363|306|423|339|42|1041|477|186|72|4173|3696|12036
Arch Hill|414|15|63|111|198|63|105|87|78|120|78|93|1428|1308|4161
Ardgowan|36|3|90|69|33|66|48|6|123|51|12|9|546|498|1590
Ardmore|135|6|126|111|102|117|108|27|168|153|57|24|1134|981|3249
Area Outside Region|24|0|54|57|24|69|21|12|138|69|6|6|480|411|1371
Area outside territorial authority|3|0|3|3|3|6|3|0|12|12|0|0|48|36|129
Armour Bay|54|3|45|36|36|39|39|15|39|18|24|18|360|342|1068
Army Bay|306|15|381|324|261|333|300|75|390|249|363|78|3075|2826|8976
Arnold Valley|12|3|21|18|12|9|3|3|36|18|3|0|132|117|387
Aro Street-Nairn Street|771|66|120|213|1050|105|189|252|174|306|192|213|3651|3345|10647
Arrowtown|273|6|225|189|105|270|216|30|228|132|102|78|1854|1722|5430
Arthurs Point|120|0|42|60|51|69|66|24|39|57|63|39|627|570|1827
Ascot Park|144|3|249|225|195|138|135|27|471|288|93|27|1986|1698|5679
Ashburton Central East|78|0|216|132|69|135|66|0|456|237|57|9|1458|1221|4134
Ashburton Central West|75|0|99|69|36|84|81|9|240|168|36|9|906|738|2550
Ashburton District|1821|24|3822|2799|1356|2400|1914|168|6270|2646|1083|312|24618|21969|71202
Ashburton East|21|0|51|30|12|39|36|3|60|18|12|0|279|264|825
Ashburton North|21|0|42|45|15|15|9|0|51|15|9|3|231|213|669
Ashhurst|177|21|303|246|156|243|189|36|465|159|57|39|2091|1932|6114
Ashley|69|6|129|114|66|96|99|15|168|51|27|12|843|792|2487
Ashley Gorge|120|15|192|138|102|168|138|12|234|90|66|24|1299|1209|3807
Atarau|9|0|30|18|9|9|12|0|30|18|6|0|138|123|402
Atawhai|258|33|225|210|129|252|252|93|300|147|144|84|2118|1971|6216
Athenree|39|3|81|57|30|57|63|6|126|90|21|6|582|495|1656
Atmore|171|9|90|93|60|93|117|54|117|84|57|45|990|906|2886
Auckland|168924|7428|104454|95241|104511|78876|91923|36792|166782|127209|105201|31854|1119195|991986|3230376
Auckland Central East|2025|132|210|300|1752|228|756|594|309|1638|1473|387|9804|8166|27774
Auckland Central West|2382|69|327|399|1191|351|1140|600|585|1968|1764|441|11217|9249|31683
Auckland City-Marinas|9|0|3|3|0|3|0|0|3|9|3|0|33|27|93
Auckland Harbourside|1095|48|177|207|453|153|363|333|171|540|486|243|4266|3732|12267
Auckland Islands|||||||||||||0||0
Auckland Region|168924|7428|104454|95241|104508|78876|91923|36792|166785|127206|105201|31854|1119195|991986|3230373
Avalon East|207|12|213|156|144|132|105|48|426|273|120|24|1863|1593|5316
Avalon West|243|15|234|192|156|183|159|42|423|315|141|30|2133|1818|6084
Aviemore|60|3|66|69|48|36|78|9|108|72|24|12|582|513|1680
Avon Loop|513|33|249|237|291|195|264|132|405|450|231|150|3147|2700|8997
Avondale|141|3|309|225|162|207|156|12|459|240|72|33|2019|1782|5820
Avondale South|741|24|357|336|402|270|336|195|630|468|546|111|4413|3945|12774
Avondale West|459|21|309|288|342|207|261|87|759|558|492|84|3867|3312|11046
Avonhead|528|63|258|279|318|225|282|126|345|216|246|105|2994|2778|8763
Avonhead West|372|27|276|258|225|222|258|72|384|186|150|81|2517|2328|7356
Avon-Heathcote Estuary|||||||||||||0||0
Avonside|114|9|159|162|96|144|114|9|357|228|66|33|1488|1260|4239
Awanui|9|0|45|27|12|18|12|0|84|48|9|0|264|216|744
Awapuni North|231|30|333|240|252|192|141|57|618|327|87|36|2550|2220|7314
Awapuni South|354|75|318|273|234|219|210|105|366|195|96|96|2541|2346|7428
Awapuni West|135|15|174|126|105|108|111|24|216|90|30|24|1158|1071|3387
Awarua|648|66|153|201|210|141|234|225|123|99|111|216|2427|2328|7182
Awaruku|432|15|264|276|279|243|315|81|303|192|375|129|2904|2715|8523
Awatoto|15|0|39|30|12|39|18|0|54|42|6|6|261|216|738
Awhitu|144|3|297|213|102|276|168|27|486|168|96|33|2013|1842|5868
Bader|411|18|306|231|270|219|234|72|645|387|162|63|3012|2628|8658
Balclutha|168|0|492|339|171|357|210|21|972|366|60|24|3192|2820|9192
Balfour Community|3|0|15|6|6|9|9|0|33|12|3|3|99|84|282
Balgownie|3|0|24|9|9|12|0|3|54|48|0|0|171|123|456
Balmacewen|135|36|42|54|48|48|42|33|69|36|15|27|588|552|1725
Balmoral|1191|81|234|315|381|219|387|312|255|315|276|279|4239|3924|12408
Banks Peninsula Eastern Bays|48|3|51|51|30|27|42|9|48|39|12|9|363|324|1056
Bare Island|||||||||||||0||0
Barrett|153|9|261|150|93|216|183|27|351|216|66|42|1764|1545|5076
Barrington North|531|24|537|444|348|471|384|90|897|513|195|117|4551|4041|13143
Barrington South|330|24|267|225|162|216|234|99|429|330|102|93|2517|2187|7215
Barrytown|15|0|24|21|12|27|15|6|30|30|3|6|198|165|552
Bastia Hill|72|3|57|72|39|69|60|6|93|30|21|21|549|513|1605
Baverstock Oaks|981|15|321|372|606|261|444|204|609|354|921|126|5217|4863|15294
Bay of Islands|||||||||||||9|9|18
Bay of Plenty Region|18876|657|28062|20436|14100|21393|18645|2832|44772|27096|9411|3741|210018|182919|602958
Bay Road West|15|0|18|21|3|18|6|0|39|15|0|3|138|123|399
Bay View|141|6|237|159|78|204|186|18|324|123|45|18|1539|1416|4494
Bays-Thames-Coromandel District|||||||||||||0||0
Bays-Waiheke Island||||||||||15|||21|9|45
Bayswater|336|15|216|195|192|165|186|93|207|111|132|69|1914|1806|5637
Beachhaven North|558|18|456|414|387|402|312|96|642|516|297|102|4203|3684|12087
Beachhaven South|594|42|354|351|357|291|354|144|453|336|294|117|3687|3351|10725
Beachlands-Maraetai|648|24|660|519|384|663|537|120|690|366|300|177|5097|4731|14916
Beaumont|99|3|231|135|138|126|87|12|504|303|162|15|1812|1506|5133
Beckenham|357|30|189|177|159|165|195|105|240|78|72|96|1860|1785|5508
Beerescourt|357|15|288|279|201|258|222|69|429|282|114|75|2583|2304|7476
Belfast|246|9|519|381|252|387|282|27|858|312|126|48|3456|3144|10047
Belfast South|453|21|375|303|255|297|288|78|462|141|153|69|2895|2754|8544
Bell Block|267|3|618|432|228|441|303|45|981|507|171|51|4047|3540|11634
Bell Island|||||||||||||0||0
Belleknowes|300|51|114|132|99|129|105|60|174|102|57|81|1401|1302|4107
Bellevue|264|0|363|312|225|294|255|30|504|279|117|54|2694|2415|7806
Belmont|345|48|222|261|216|246|219|99|216|108|102|84|2160|2052|6378
Ben Mcleod|9|0|9|12|9|0|9|3|6|3|3|3|63|57|186
Benhar|3|0|12|6|6|3|9|0|27|9|3|0|78|69|225
Berhampore East|165|6|42|63|84|42|69|45|96|87|54|51|810|723|2337
Berhampore West|429|24|123|168|183|135|141|120|324|282|111|123|2163|1881|6207
Best Island|9|0|3|6|6|15|6|0|9|12|3|3|75|60|207
Bethlehem|369|15|402|369|195|288|348|54|531|309|144|72|3093|2787|8976
Bethlehem East|324|12|387|300|177|288|327|60|423|183|207|78|2766|2586|8118
Bexley|60|0|252|156|120|174|90|3|663|303|57|9|1890|1587|5364
Birdwood East|123|3|123|93|90|96|78|21|225|144|102|15|1119|972|3204
Birdwood West|48|3|48|51|39|39|42|6|75|51|15|9|426|375|1227
Birkdale North|303|12|240|219|201|183|150|48|447|264|201|57|2325|2064|6714
Birkdale South|522|24|303|327|330|270|288|69|423|267|282|114|3222|2958|9399
Birkenhead East|720|48|270|291|324|237|360|198|303|234|261|180|3423|3189|10038
Bishopdale|213|9|264|207|165|219|162|30|456|180|111|21|2037|1854|5928
Bishopdale North|426|6|492|390|336|387|396|66|723|279|165|99|3771|3489|11025
Blackball|9|0|39|18|12|33|15|0|69|39|6|0|246|207|693
Blaketown|27|0|102|72|54|78|45|3|255|117|12|3|765|651|2184
Bleakhouse|285|12|114|132|144|126|189|66|126|90|189|60|1530|1443|4506
Bledisloe Park|216|9|294|261|144|231|216|21|489|231|138|54|2307|2079|6690
Blenheim Central|153|3|300|192|144|234|180|27|549|309|117|30|2238|1929|6405
Blockhouse Bay|819|27|444|435|474|339|459|192|735|462|570|135|5085|4626|14802
Blueskin|132|3|213|156|96|192|162|24|249|141|36|36|1446|1305|4191
Bluff|48|0|228|102|51|156|57|9|522|228|27|9|1443|1215|4095
Bluff Hill|390|18|231|252|171|201|237|96|252|225|108|90|2271|2046|6588
Bombay|60|0|84|78|45|93|57|6|129|33|36|9|633|600|1863
Boulcott|345|9|222|228|186|168|150|66|327|147|114|54|2019|1872|5907
Bowden|27|0|66|36|21|42|30|6|81|39|18|3|372|333|1074
Bream Bay|54|0|111|69|45|75|78|12|138|81|24|9|693|615|2004
Bream Head|129|3|147|102|54|132|129|36|174|75|69|27|1077|999|3153
Bremner|39|0|39|45|24|33|30|6|57|24|18|6|318|294|933
Brentwood|114|9|204|192|147|165|135|30|315|192|66|30|1599|1407|4605
Bridge Pa|42|0|99|93|48|60|54|12|228|324|15|15|984|660|2634
Brighton|129|12|159|93|78|156|87|24|213|150|27|36|1161|1011|3336
Brightwater|96|0|210|174|84|192|108|18|276|90|51|18|1320|1230|3867
Britannia|210|18|126|84|75|105|129|54|123|90|57|51|1119|1029|3270
Broad Bay-Portobello|147|48|81|69|48|84|108|51|99|66|33|69|903|837|2643
Broadlands|27|0|87|66|33|75|36|0|105|36|12|3|483|447|1410
Broads|114|3|141|123|93|102|93|12|300|120|39|27|1167|1047|3381
Brockville|213|18|330|240|201|258|144|36|636|381|72|48|2583|2202|7362
Bromley|96|3|333|228|156|213|132|15|726|270|84|15|2271|2001|6543
Bronte|264|27|126|135|84|93|165|66|123|114|78|87|1365|1248|3975
Brookfield|375|3|525|411|297|435|354|51|777|381|183|63|3858|3480|11193
Brooklyn|900|75|168|258|438|171|246|294|147|243|150|294|3387|3141|9912
Brooklyn South|210|12|57|69|87|78|63|33|66|54|57|48|831|777|2442
Brookvale|72|0|60|54|30|54|60|15|63|30|15|15|465|435|1368
Broomfield|168|6|288|189|165|162|171|21|561|243|111|33|2118|1875|6111
Browns Bay|486|33|339|312|303|306|378|126|357|390|420|87|3537|3147|10221
Browns Island|||||||||||||0||0
Bruce|180|6|414|252|135|225|201|24|585|360|63|33|2478|2115|7071
Bruce Bay-Paringa|3|3|3|6|0|3|0|0|3|3|3|0|30|27|84
Bryant|555|21|546|474|360|462|375|90|870|426|186|108|4476|4047|12996
Brymer|255|6|243|189|162|213|162|39|402|153|132|54|2010|1857|5877
Bryndwr|516|54|261|297|228|138|279|105|213|123|114|102|2430|2304|7164
Buckland|39|0|63|48|24|51|39|6|66|30|9|9|390|354|1128
Buckland South|69|6|105|78|42|84|54|9|117|54|15|15|654|600|1902
Bucklands and Eastern Beaches|732|33|399|417|324|345|423|153|477|261|546|144|4251|3990|12495
Bucklands Beach South|435|24|174|156|177|162|177|93|219|153|324|66|2157|2001|6318
Buller Coalfields|30|0|81|42|15|48|27|3|114|69|12|6|453|384|1284
Buller District|465|12|1272|873|480|870|585|84|2397|1128|246|99|8511|7383|24405
Bulls|54|0|168|132|111|117|84|9|339|117|42|15|1185|1065|3438
Burbank|87|3|246|177|216|120|72|3|621|564|141|12|2259|1695|6216
Burbush|12|0|21|27|6|12|12|3|30|15|6|3|141|126|414
