Area|Sources of personal income|Ethnic group|Value|Flags
"Total, New Zealand by regional council/area unit"|"Total people, sources of personal income"|"Total people, ethnic group"|3376419|
"Total, New Zealand by regional council/area unit"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1809531|
"Total, New Zealand by regional council/area unit"|"Self-employment or business"|"Total people, ethnic group"|483489|
"Total, New Zealand by regional council/area unit"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|655062|
"Total, New Zealand by regional council/area unit"|"Payments from a work accident insurer"|"Total people, ethnic group"|36270|
"Total, New Zealand by regional council/area unit"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|526434|
"Total, New Zealand by regional council/area unit"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|83904|
"Total, New Zealand by regional council/area unit"|"Unemployment benefit"|"Total people, ethnic group"|91482|
"Total, New Zealand by regional council/area unit"|"Sickness benefit"|"Total people, ethnic group"|78408|
"Total, New Zealand by regional council/area unit"|"Domestic purposes benefit"|"Total people, ethnic group"|86136|
"Total, New Zealand by regional council/area unit"|"Invalids benefit"|"Total people, ethnic group"|74499|
"Total, New Zealand by regional council/area unit"|"Student allowance"|"Total people, ethnic group"|89358|
"Total, New Zealand by regional council/area unit"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|131121|
"Total, New Zealand by regional council/area unit"|"Other sources of income"|"Total people, ethnic group"|60165|
"Total, New Zealand by regional council/area unit"|"No source of income during that time"|"Total people, ethnic group"|233628|
"Total, New Zealand by regional council/area unit"|"Total people stated"|"Total people, ethnic group"|3133722|
"Total, New Zealand by regional council/area unit"|"Not stated"|"Total people, ethnic group"|242697|
"Total, New Zealand by territorial authority/area unit"|"Total people, sources of personal income"|"Total people, ethnic group"|3376416|
"Total, New Zealand by territorial authority/area unit"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1809534|
"Total, New Zealand by territorial authority/area unit"|"Self-employment or business"|"Total people, ethnic group"|483486|
"Total, New Zealand by territorial authority/area unit"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|655062|
"Total, New Zealand by territorial authority/area unit"|"Payments from a work accident insurer"|"Total people, ethnic group"|36267|
"Total, New Zealand by territorial authority/area unit"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|526434|
"Total, New Zealand by territorial authority/area unit"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|83904|
"Total, New Zealand by territorial authority/area unit"|"Unemployment benefit"|"Total people, ethnic group"|91479|
"Total, New Zealand by territorial authority/area unit"|"Sickness benefit"|"Total people, ethnic group"|78408|
"Total, New Zealand by territorial authority/area unit"|"Domestic purposes benefit"|"Total people, ethnic group"|86133|
"Total, New Zealand by territorial authority/area unit"|"Invalids benefit"|"Total people, ethnic group"|74499|
"Total, New Zealand by territorial authority/area unit"|"Student allowance"|"Total people, ethnic group"|89361|
"Total, New Zealand by territorial authority/area unit"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|131118|
"Total, New Zealand by territorial authority/area unit"|"Other sources of income"|"Total people, ethnic group"|60165|
"Total, New Zealand by territorial authority/area unit"|"No source of income during that time"|"Total people, ethnic group"|233625|
"Total, New Zealand by territorial authority/area unit"|"Total people stated"|"Total people, ethnic group"|3133722|
"Total, New Zealand by territorial authority/area unit"|"Not stated"|"Total people, ethnic group"|242697|
"Northland Region"|"Total people, sources of personal income"|"Total people, ethnic group"|118941|
"Northland Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|50367|
"Northland Region"|"Self-employment or business"|"Total people, ethnic group"|19644|
"Northland Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|20793|
"Northland Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|1611|
"Northland Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|23985|
"Northland Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|3291|
"Northland Region"|"Unemployment benefit"|"Total people, ethnic group"|4611|
"Northland Region"|"Sickness benefit"|"Total people, ethnic group"|3594|
"Northland Region"|"Domestic purposes benefit"|"Total people, ethnic group"|4683|
"Northland Region"|"Invalids benefit"|"Total people, ethnic group"|3621|
"Northland Region"|"Student allowance"|"Total people, ethnic group"|1623|
"Northland Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|4614|
"Northland Region"|"Other sources of income"|"Total people, ethnic group"|1488|
"Northland Region"|"No source of income during that time"|"Total people, ethnic group"|7320|
"Northland Region"|"Total people stated"|"Total people, ethnic group"|107061|
"Northland Region"|"Not stated"|"Total people, ethnic group"|11880|
"Auckland Region"|"Total people, sources of personal income"|"Total people, ethnic group"|1119195|
"Auckland Region"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|588561|
"Auckland Region"|"Self-employment or business"|"Total people, ethnic group"|149874|
"Auckland Region"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|193305|
"Auckland Region"|"Payments from a work accident insurer"|"Total people, ethnic group"|8343|
"Auckland Region"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|132429|
"Auckland Region"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|22038|
"Auckland Region"|"Unemployment benefit"|"Total people, ethnic group"|29940|
"Auckland Region"|"Sickness benefit"|"Total people, ethnic group"|29142|
"Auckland Region"|"Domestic purposes benefit"|"Total people, ethnic group"|26517|
"Auckland Region"|"Invalids benefit"|"Total people, ethnic group"|17823|
"Auckland Region"|"Student allowance"|"Total people, ethnic group"|34794|
"Auckland Region"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|40884|
