Area|Age group of sole parent|Sex of sole parent|Year|Value|Flags
"Total, New Zealand by regional council"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|144411|
"Total, New Zealand by regional council"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|22845|
"Total, New Zealand by regional council"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|121566|
"Total, New Zealand by territorial authority"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|144411|
"Total, New Zealand by territorial authority"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|22845|
"Total, New Zealand by territorial authority"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|121563|
"Northland Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|6531|
"Northland Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|1137|
"Northland Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|5394|
"Auckland Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|46707|
"Auckland Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|7062|
"Auckland Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|39645|
"Waikato Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|15327|
"Waikato Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|2376|
"Waikato Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|12948|
"Bay of Plenty Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|11571|
"Bay of Plenty Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|1923|
"Bay of Plenty Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|9645|
"Gisborne Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|2436|
"Gisborne Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|408|
"Gisborne Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|2028|
"Hawke's Bay Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|6558|
"Hawke's Bay Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|1050|
"Hawke's Bay Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|5508|
"Taranaki Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|3900|
"Taranaki Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|660|
"Taranaki Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|3240|
"Manawatu-Wanganui Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|8832|
"Manawatu-Wanganui Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|1386|
"Manawatu-Wanganui Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|7449|
"Wellington Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|14850|
"Wellington Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|2454|
"Wellington Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|12393|
"Tasman Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1299|
"Tasman Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|204|
"Tasman Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1092|
"Nelson Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1683|
"Nelson Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|261|
"Nelson Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1422|
"Marlborough Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|1236|
"Marlborough Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|192|
"Marlborough Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|1041|
"West Coast Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|843|
"West Coast Region"|"Total one parent with dependent children families"|"Male sole parent"|"2013"|150|
"West Coast Region"|"Total one parent with dependent children families"|"Female sole parent"|"2013"|690|
"Canterbury Region"|"Total one parent with dependent children families"|"Total one parent with dependent children families"|"2013"|14757|
