Area|Access to telecommunication systems|Tenure of household|Year|Value|Flags
"Total, New Zealand by regional council/area unit"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|1549890|
"Total, New Zealand by territorial authority/area unit"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|1549890|
"Northland Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|58944|
"Auckland Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|469500|
"Waikato Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|150174|
"Bay of Plenty Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|102273|
"Gisborne Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|15993|
"Hawke's Bay Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|57642|
"Taranaki Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|43014|
"Manawatu-Wanganui Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|87003|
"Wellington Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|176133|
"Tasman Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|18264|
"Nelson Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|18543|
"Marlborough Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|17673|
"West Coast Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|13287|
"Canterbury Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|204840|
"Otago Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|78915|
"Southland Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|37449|
"Total, Regional Council areas"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|1549641|
"Area Outside Region"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|249|
"Far North District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|21369|
"Whangarei District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|29778|
"Kaipara District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|7800|
"Auckland"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|469497|
"Rodney Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|20058|
"Hibiscus and Bays Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|32697|
"Upper Harbour Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|17106|
"Kaipatiki Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|28428|
"Devonport-Takapuna Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|20343|
"Henderson-Massey Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|34437|
"Waitakere Ranges Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|16623|
"Great Barrier Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|462|
"Waiheke Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|3618|
"Waitemata Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|31560|
"Whau Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|23931|
"Albert-Eden Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|31815|
"Puketapapa Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|16698|
"Orakei Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|29046|
"Maungakiekie-Tamaki Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|23907|
"Howick Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|40932|
"Mangere-Otahuhu Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|17382|
"Otara-Papatoetoe Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|19956|
"Manurewa Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|22662|
"Papakura Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|14898|
"Franklin Local Board Area"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|22935|
"Thames-Coromandel District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|11502|
"Hauraki District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|7365|
"Waikato District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|22032|
"Matamata-Piako District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|12246|
"Hamilton City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|50391|
"Waipa District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|17526|
"Otorohanga District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|3303|
"South Waikato District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|8388|
"Waitomo District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|3354|
"Taupo District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|12879|
"Western Bay of Plenty District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|16737|
"Tauranga City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|44907|
"Rotorua District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|24207|
"Whakatane District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|12048|
"Kawerau District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|2376|
"Opotiki District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|3219|
"Gisborne District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|15993|
"Wairoa District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|2973|
"Hastings District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|26688|
"Napier City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|22842|
"Central Hawke's Bay District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|5100|
"New Plymouth District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|29202|
"Stratford District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|3537|
"South Taranaki District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|10341|
"Ruapehu District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|4584|
"Wanganui District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|17310|
"Rangitikei District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|5670|
"Manawatu District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|10479|
"Palmerston North City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|29601|
"Tararua District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|6798|
"Horowhenua District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|12492|
"Kapiti Coast District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|20469|
"Porirua City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|16884|
"Upper Hutt City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|15039|
"Lower Hutt City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|35988|
"Wellington City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|71004|
"Masterton District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|9507|
"Carterton District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|3294|
"South Wairarapa District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|3939|
"Tasman District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|18264|
"Nelson City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|18543|
"Marlborough District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|17673|
"Kaikoura District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|1479|
"Buller District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|4437|
"Grey District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|5355|
"Westland District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|3492|
"Hurunui District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|4668|
"Waimakariri District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|18543|
"Christchurch City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|129078|
"Selwyn District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|15000|
"Ashburton District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|12201|
"Timaru District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|18354|
"Mackenzie District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|1647|
"Waimate District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|3177|
"Chatham Islands Territory"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|246|
"Waitaki District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|8808|
"Central Otago District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|7413|
"Queenstown-Lakes District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|10713|
"Dunedin City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|45933|
"Clutha District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|6720|
"Southland District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|11514|
"Gore District"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|4893|
"Invercargill City"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|21042|
"Total, Territorial Authority areas"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|1549863|
"Area outside territorial authority"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|27|
"Awanui"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|123|
"Karikari Peninsula-Maungataniwha"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|1725|
"Taipa Bay-Mangonui"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|768|
"Herekino"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|723|
"Ahipara"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|390|
"North Cape"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|168|
"Houhora"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|393|
"Motutangi-Kareponia"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|651|
"Kaitaia West"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|1131|
"Kaitaia East"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|660|
"Kaeo"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|165|
"Mangapa-Matauri Bay"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|981|
"Kohukohu"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|78|
"Rawene"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|189|
"Omapere and Opononi"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|183|
"Hokianga North"|"Total households, access to telecommunication systems"|"Total households, tenure of household"|"2013"|660|
