"TENHOUSE"|"Tenure of household"|"AREA"|"Area"|"YEAR"|"Year"|"ACCESS"|"Access to telecommunication systems"|Value|Flags
"999"|"Total households, tenure of household"|"9999"|"Total, New Zealand by regional council/area unit"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|1549890|
"999"|"Total households, tenure of household"|"999999"|"Total, New Zealand by territorial authority/area unit"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|1549890|
"999"|"Total households, tenure of household"|"01"|"Northland Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|58944|
"999"|"Total households, tenure of household"|"02"|"Auckland Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|469500|
"999"|"Total households, tenure of household"|"03"|"Waikato Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|150174|
"999"|"Total households, tenure of household"|"04"|"Bay of Plenty Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|102273|
"999"|"Total households, tenure of household"|"05"|"Gisborne Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|15993|
"999"|"Total households, tenure of household"|"06"|"Hawke's Bay Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|57642|
"999"|"Total households, tenure of household"|"07"|"Taranaki Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|43014|
"999"|"Total households, tenure of household"|"08"|"Manawatu-Wanganui Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|87003|
"999"|"Total households, tenure of household"|"09"|"Wellington Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|176133|
"999"|"Total households, tenure of household"|"16"|"Tasman Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|18264|
"999"|"Total households, tenure of household"|"17"|"Nelson Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|18543|
"999"|"Total households, tenure of household"|"18"|"Marlborough Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|17673|
"999"|"Total households, tenure of household"|"12"|"West Coast Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|13287|
"999"|"Total households, tenure of household"|"13"|"Canterbury Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|204840|
"999"|"Total households, tenure of household"|"14"|"Otago Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|78915|
"999"|"Total households, tenure of household"|"15"|"Southland Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|37449|
"999"|"Total households, tenure of household"|"77"|"Total, Regional Council areas"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|1549641|
"999"|"Total households, tenure of household"|"99"|"Area Outside Region"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|249|
"999"|"Total households, tenure of household"|"001"|"Far North District"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|21369|
"999"|"Total households, tenure of household"|"002"|"Whangarei District"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|29778|
"999"|"Total households, tenure of household"|"003"|"Kaipara District"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|7800|
"999"|"Total households, tenure of household"|"076"|"Auckland"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|469497|
"999"|"Total households, tenure of household"|"CMB07601"|"Rodney Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|20058|
"999"|"Total households, tenure of household"|"CMB07602"|"Hibiscus and Bays Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|32697|
"999"|"Total households, tenure of household"|"CMB07603"|"Upper Harbour Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|17106|
"999"|"Total households, tenure of household"|"CMB07604"|"Kaipatiki Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|28428|
"999"|"Total households, tenure of household"|"CMB07605"|"Devonport-Takapuna Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|20343|
"999"|"Total households, tenure of household"|"CMB07606"|"Henderson-Massey Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|34437|
"999"|"Total households, tenure of household"|"CMB07607"|"Waitakere Ranges Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|16623|
"999"|"Total households, tenure of household"|"CMB07608"|"Great Barrier Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|462|
"999"|"Total households, tenure of household"|"CMB07609"|"Waiheke Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|3618|
"999"|"Total households, tenure of household"|"CMB07610"|"Waitemata Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|31560|
"999"|"Total households, tenure of household"|"CMB07611"|"Whau Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|23931|
"999"|"Total households, tenure of household"|"CMB07612"|"Albert-Eden Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|31815|
"999"|"Total households, tenure of household"|"CMB07613"|"Puketapapa Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|16698|
"999"|"Total households, tenure of household"|"CMB07614"|"Orakei Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|29046|
"999"|"Total households, tenure of household"|"CMB07615"|"Maungakiekie-Tamaki Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|23907|
"999"|"Total households, tenure of household"|"CMB07616"|"Howick Local Board Area"|"2013"|"2013"|"9999"|"Total households, access to telecommunication systems"|40932|
